"COMPANY NAME","SECURITY TYPE","ISSUE PRICE","Symbol","ISSUE START DATE","ISSUE END DATE","PRICE RANGE","DATE OF LISTING"
"Dev Accelerator Limited","BE","    61","DEVX","10-SEP-2025","12-SEP-2025","Rs.56 to Rs.61","17-SEP-2025"
"Galaxy Medicare Limited","SME","54","GML","10-SEP-2025","12-SEP-2025","RS.51 to RS.54","17-SEP-2025"
"Taurian MPS Limited","SME","171","TAURIAN","09-SEP-2025","11-SEP-2025","RS.162 to RS.171","16-SEP-2025"
"Vigor Plast India Limited","SME","81","VIGOR","04-SEP-2025","09-SEP-2025","RS.77 to RS.81","12-SEP-2025"
"Optivalue Tek Consulting Limited","SME","84","OPTIVALUE","02-SEP-2025","04-SEP-2025","RS.80 to RS.84","10-SEP-2025"
"Amanta Healthcare Limited","BE","   126","AMANTA","01-SEP-2025","03-SEP-2025","Rs.120 to Rs.126","09-SEP-2025"
"Amanta Healthcare Limited","BE","   126","AMANTA","01-SEP-2025","03-SEP-2025","Rs.120 to Rs.126","09-SEP-2025"
"Snehaa Organics Limited","SME","122","SNEHAA","29-AUG-2025","02-SEP-2025","RS.115 to RS.122","05-SEP-2025"
"Anlon Healthcare Limited","BE","    91","AHCL","26-AUG-2025","29-AUG-2025","Rs.86 to Rs.91","03-SEP-2025"
"Vikran Engineering Limited","EQ","    97","VIKRAN","26-AUG-2025","29-AUG-2025","Rs.92 to Rs.97","03-SEP-2025"
"Anlon Healthcare Limited","BE","    91","AHCL","26-AUG-2025","29-AUG-2025","Rs.86 to Rs.91","03-SEP-2025"
"Current Infraprojects Limited","SME","80","CURRENT","26-AUG-2025","29-AUG-2025","RS.76 to RS.80","03-SEP-2025"
"Sattva Engineering Construction Limited","SME","75","SATTVAENGG","26-AUG-2025","29-AUG-2025","RS.70 to RS.75","03-SEP-2025"
"Classic Electrodes (India) Limited","SME","87","CLASSICEIL","22-AUG-2025","26-AUG-2025","RS.82 to RS.87","01-SEP-2025"
"Shivashrit Foods Limited","SME","142","SHIVASHRIT","22-AUG-2025","26-AUG-2025","RS.135 to RS.142","01-SEP-2025"
"Anondita Medicare Limited","SME","145","ANONDITA","22-AUG-2025","26-AUG-2025","RS.137 to RS.145","01-SEP-2025"
"ARC Insulation & Insulators Limited","SME","125","ARCIIL","21-AUG-2025","25-AUG-2025","RS.119 to RS.125","29-AUG-2025"
"Mangal Electrical Industries Limited","EQ","   561","MEIL","20-AUG-2025","22-AUG-2025","Rs.533 to Rs.561","28-AUG-2025"
"Vikram Solar Limited","EQ","   332","VIKRAMSOLR","19-AUG-2025","21-AUG-2025","Rs.315 to Rs.332","26-AUG-2025"
"Patel Retail Limited","BE","   255","PATELRMART","19-AUG-2025","21-AUG-2025","Rs.237 to Rs.255","26-AUG-2025"
"Gem Aromatics Limited","EQ","   325","GEMAROMA","19-AUG-2025","21-AUG-2025","Rs.309 to Rs.325","26-AUG-2025"
"Shreeji Shipping Global Limited","EQ","   252","SHREEJISPG","19-AUG-2025","21-AUG-2025","Rs.240 to Rs.252","26-AUG-2025"
"Patel Retail Limited","BE","   255","PATELRMART","19-AUG-2025","21-AUG-2025","Rs.237 to Rs.255","26-AUG-2025"
"Studio LSD Limited","SME","54","STUDIOLSD","18-AUG-2025","20-AUG-2025","RS.51 to RS.54","25-AUG-2025"
"Regaal Resources Limited","EQ","   102","REGAAL","12-AUG-2025","14-AUG-2025","Rs.96 to Rs.102","20-AUG-2025"
"Mahendra Realtors & Infrastructure Limited","SME","85","MRIL","12-AUG-2025","14-AUG-2025","RS.75 to RS.85","20-AUG-2025"
"BlueStone Jewellery and Lifestyle Limited","EQ","   517","BLUESTONE","11-AUG-2025","13-AUG-2025","Rs.492 to Rs.517","19-AUG-2025"
"ANB Metal Cast Limited","SME","156","AMCL","08-AUG-2025","12-AUG-2025","RS.148 to RS.156","18-AUG-2025"
"Medistep Healthcare Limited","SME","43","MEDISTEP","08-AUG-2025","12-AUG-2025","RS.43","18-AUG-2025"
"All Time Plastics Limited","EQ","   275","ALLTIME","07-AUG-2025","11-AUG-2025","Rs.260 to Rs.275","14-AUG-2025"
"JSW Cement Limited","EQ","   147","JSWCEMENT","07-AUG-2025","11-AUG-2025","Rs.139 to Rs.147","14-AUG-2025"
"Connplex Cinemas Limited","SME","177","CONNPLEX","07-AUG-2025","11-AUG-2025","RS.168 to RS.177","14-AUG-2025"
"Sawaliya Food Products Limited","SME","120","SAWALIYA","07-AUG-2025","11-AUG-2025","RS.114 to RS.120","14-AUG-2025"
"Knowledge Realty Trust","RR","   100","KRT","05-AUG-2025","07-AUG-2025","Rs.95 to Rs.100","18-AUG-2025"
"Highway Infrastructure Limited","BE","    70","HILINFRA","05-AUG-2025","07-AUG-2025","Rs.65 to Rs.70","12-AUG-2025"
"Highway Infrastructure Limited","BE","    70","HILINFRA","05-AUG-2025","07-AUG-2025","Rs.65 to Rs.70","12-AUG-2025"
"Knowledge Realty Trust","RR","   100","KRT","05-AUG-2025","07-AUG-2025","Rs.95 to Rs.100","18-AUG-2025"
"Jyoti Global Plast Limited","SME","66","JYOTIGLOBL","04-AUG-2025","06-AUG-2025","RS.62 to RS.66","11-AUG-2025"
"Bhadora Industries Limited","SME","103","BHADORA","04-AUG-2025","06-AUG-2025","RS.97 to RS.103","11-AUG-2025"
"Aaradhya Disposal Industries Limited","SME","116","AARADHYA","04-AUG-2025","06-AUG-2025","RS.110 to RS.116","11-AUG-2025"
"Parth Electricals & Engineering Limited","SME","170","PARTH","04-AUG-2025","06-AUG-2025","RS.160 to RS.170","11-AUG-2025"
"FlySBS Aviation Limited","SME","225","FLYSBS","01-AUG-2025","05-AUG-2025","RS.210 to RS.225","08-AUG-2025"
